run_id,date,plant,production_line,machine_id,product_id,shift,planned_minutes,operating_minutes,ideal_cycle_time_seconds,planned_units,actual_units,good_units,scrap_units,rework_units,operator_team
RUN-00001,2025-01-01,North Plant,Line A,M-101,P-400,Night,450.0,383.1,48.0,562.5,477.5,457.4,11.5,8.6,Team B
RUN-00002,2025-01-01,North Plant,Line A,M-102,P-500,Night,407.4,364.2,39.0,626.7,536.1,516.3,10.5,9.3,Team D
RUN-00003,2025-01-01,North Plant,Line B,M-103,P-200,Day,422.6,377.5,55.0,461.1,421.0,405.5,9.8,5.8,Team D
RUN-00004,2025-01-01,South Plant,Line C,M-201,P-100,Day,381.6,349.5,42.0,545.2,511.8,495.1,9.9,6.7,Team C
RUN-00005,2025-01-01,South Plant,Line C,M-202,P-500,Night,468.9,437.7,39.0,721.4,617.2,591.2,14.8,11.1,Team B
RUN-00006,2025-01-01,South Plant,Line D,M-203,P-300,Day,434.6,400.7,36.0,724.4,663.9,642.6,12.6,8.6,Team B
RUN-00007,2025-01-01,West Plant,Line E,M-301,P-300,Swing,399.5,358.1,36.0,665.9,571.4,550.0,13.5,7.9,Team D
RUN-00008,2025-01-01,West Plant,Line E,M-302,P-300,Day,386.4,355.6,36.0,644.0,585.6,566.0,11.7,7.9,Team A
RUN-00009,2025-01-02,North Plant,Line A,M-101,P-100,Swing,373.2,350.7,42.0,533.1,454.7,437.4,10.9,6.4,Team D
RUN-00010,2025-01-02,North Plant,Line A,M-102,P-600,Night,428.7,367.3,51.0,504.4,441.4,425.1,8.7,7.7,Team B
RUN-00011,2025-01-02,North Plant,Line B,M-103,P-500,Day,431.6,399.0,39.0,663.9,602.4,580.2,14.1,8.2,Team A
RUN-00012,2025-01-02,South Plant,Line C,M-201,P-400,Night,394.4,336.8,48.0,493.1,423.5,408.1,8.2,7.3,Team B
RUN-00013,2025-01-02,South Plant,Line C,M-202,P-400,Swing,352.7,323.1,48.0,440.9,383.0,368.5,9.2,5.4,Team B
RUN-00014,2025-01-02,South Plant,Line D,M-203,P-100,Swing,451.7,403.1,42.0,645.3,565.4,547.3,10.7,7.3,Team C
RUN-00015,2025-01-02,West Plant,Line E,M-301,P-200,Day,369.0,312.5,55.0,402.5,357.5,344.1,8.5,4.9,Team B
RUN-00016,2025-01-02,West Plant,Line E,M-302,P-600,Day,447.6,418.1,51.0,526.6,485.4,469.2,9.7,6.6,Team B
RUN-00017,2025-01-03,North Plant,Line A,M-101,P-300,Swing,438.3,369.3,36.0,730.5,619.3,595.8,14.9,8.7,Team B
RUN-00018,2025-01-03,North Plant,Line A,M-102,P-500,Day,439.5,395.6,39.0,676.1,615.4,595.1,12.1,8.2,Team C
RUN-00019,2025-01-03,North Plant,Line B,M-103,P-300,Day,446.6,391.3,36.0,744.4,667.6,642.9,15.6,9.1,Team C
RUN-00020,2025-01-03,South Plant,Line C,M-201,P-400,Swing,362.1,346.0,48.0,452.6,396.6,383.7,7.7,5.2,Team B
